date,open,close,low,high,volume,money
1997/6/16,1255.77,1261.47,1255.77,1269.63,4840552000.0,6258708100.0
1997/6/17,1260.41,1245.93,1245.34,1263.9,3604596000.0,4267129400.0
1997/6/18,1252.02,1232.68,1230.3,1254.9,3284719000.0,3992862500.0
1997/6/19,1233.68,1230.74,1227.25,1250.64,3087207000.0,4012370500.0
1997/6/20,1244.0,1291.2,1244.0,1292.32,4840670000.0,6544560600.0
1997/6/23,1313.24,1283.5,1265.18,1322.98,6216438000.0,9060128500.0
1997/6/24,1287.19,1303.93,1283.72,1304.05,4145512000.0,5712507700.0
1997/6/25,1309.34,1297.59,1293.35,1311.2,4441957000.0,6130002700.0
1997/6/26,1295.11,1284.46,1280.85,1295.15,4106079000.0,5216910600.0
1997/6/27,1287.92,1250.27,1246.93,1291.98,5632511000.0,8350718800.0
1997/7/2,1255.91,1199.06,1147.33,1261.57,3923861000.0,5649594700.0
1997/7/3,1194.68,1150.62,1149.94,1194.68,3737271000.0,4686329400.0
1997/7/4,1138.92,1159.34,1124.78,1163.25,4445420000.0,5035910300.0
1997/7/7,1161.71,1096.82,1085.57,1163.45,3526133000.0,4145645100.0
1997/7/8,1092.8,1109.67,1066.04,1115.43,3675202000.0,4299877700.0
1997/7/9,1113.64,1120.84,1104.09,1122.67,3214466000.0,3476656500.0
1997/7/10,1121.26,1120.15,1115.21,1137.87,3354190000.0,3583109400.0
1997/7/11,1116.42,1154.79,1114.4,1155.06,3965974000.0,4611333400.0
1997/7/14,1163.29,1185.72,1158.45,1185.78,5573165000.0,6522437700.0
1997/7/15,1189.47,1200.11,1180.19,1201.21,5727596000.0,6440764700.0
1997/7/16,1201.6,1190.83,1184.45,1204.86,5273630000.0,6246713900.0
1997/7/17,1188.27,1197.23,1180.93,1203.5,4578718000.0,5560614800.0
1997/7/18,1199.4,1209.86,1191.29,1210.44,4765964000.0,5982634100.0
1997/7/21,1215.84,1193.53,1188.88,1218.48,4940280000.0,5993836500.0
1997/7/22,1189.12,1208.25,1163.47,1208.26,4552630000.0,5444710900.0
1997/7/23,1219.06,1198.86,1194.7,1223.82,4808424000.0,5461629600.0
1997/7/24,1194.71,1174.22,1172.37,1200.31,3325957000.0,3820911100.0
1997/7/25,1166.57,1170.86,1158.14,1177.65,3112253000.0,3445143100.0
1997/7/28,1167.81,1141.78,1138.48,1167.88,3059538000.0,3327072600.0
1997/7/29,1137.32,1153.23,1133.18,1161.2,3033113000.0,2967735300.0
1997/7/30,1157.09,1179.42,1157.0,1179.48,3652351000.0,3508086400.0
1997/7/31,1184.94,1189.76,1179.72,1192.2,3763266000.0,3644509100.0
1997/8/1,1191.65,1192.83,1182.22,1194.03,3286478000.0,3105525900.0
1997/8/4,1196.25,1200.33,1188.68,1201.92,4326691000.0,4201353900.0
1997/8/5,1203.36,1196.27,1193.7,1207.23,3597457000.0,3481090300.0
1997/8/6,1196.04,1171.94,1170.27,1197.45,2972321000.0,2869078900.0
1997/8/7,1167.93,1199.24,1161.63,1199.24,3448699000.0,3132656700.0
1997/8/8,1205.95,1206.05,1201.36,1216.56,7033741000.0,5940437100.0
1997/8/11,1206.46,1184.08,1182.45,1206.76,5036508000.0,4929063200.0
1997/8/12,1177.26,1146.81,1145.75,1183.44,3936901000.0,3871581700.0
1997/8/13,1139.25,1120.13,1118.2,1153.5,3460815000.0,3209822100.0
1997/8/14,1120.47,1168.11,1120.25,1168.34,3952971000.0,3598623100.0
1997/8/15,1174.18,1143.06,1133.89,1174.88,4767614000.0,3827543700.0
1997/8/18,1139.61,1134.63,1116.15,1139.61,3357464000.0,2998716300.0
